Date,Open,High,Low,Close,Volume,Currency,Nombre
2021-11-01,1485.58,1500.0,1471.74,1489.66,409660,USD,MELI
2021-11-02,1498.25,1509.42,1479.81,1508.71,311747,USD,MELI
2021-11-03,1522.44,1546.7,1508.55,1531.93,472462,USD,MELI
2021-11-04,1524.44,1568.72,1524.44,1556.49,503699,USD,MELI
2021-11-05,1652.5,1705.14,1605.0,1629.76,942906,USD,MELI
2021-11-01,169.21,171.25,169.09,170.19,8036563,USD,DIS
2021-11-02,170.03,170.85,168.98,169.83,6395109,USD,DIS
2021-11-03,169.7,170.19,168.37,170.08,6798907,USD,DIS
2021-11-04,170.03,170.42,168.67,170.28,7137648,USD,DIS
2021-11-05,173.5,176.99,172.33,175.63,16859184,USD,DIS
2021-11-01,1145.0,1209.75,1118.66,1208.59,54886100,USD,TSLA
2021-11-02,1159.35,1208.59,1146.0,1172.0,42451800,USD,TSLA
2021-11-03,1177.33,1215.39,1152.62,1213.86,34034300,USD,TSLA
2021-11-04,1234.41,1243.49,1217.0,1229.91,25209300,USD,TSLA
2021-11-05,1228.0,1239.87,1208.0,1222.09,21628800,USD,TSLA
2021-11-01,689.06,689.97,676.54,681.17,3065891,USD,NFLX
2021-11-02,683.11,687.68,673.82,677.72,3878796,USD,NFLX
2021-11-03,677.27,689.39,677.27,688.29,2319679,USD,NFLX
2021-11-04,685.89,685.94,665.5,668.4,4831373,USD,NFLX
2021-11-05,663.97,665.64,645.01,645.72,5283488,USD,NFLX
