,Nombre,Ult,Max,Min,Dif,Fecha
0,ACCIONA,"157,0000",160.0,155.5,"-1,32",2021-11-06 02:22:05.145273
1,ACERINOX,"11,2200",11.48,11.215,"-1,41",2021-11-06 02:22:05.148882
2,ACS,"23,3100",23.35,22.15,"4,72",2021-11-06 02:22:05.151960
3,AENA,"151,2500",151.25,145.2,"3,60",2021-11-06 02:22:05.154961
4,ALMIRALL,"12,3900",12.92,12.37,"-2,21",2021-11-06 02:22:05.157981
5,AMADEUS,"61,9400",62.38,57.26,"4,70",2021-11-06 02:22:05.160993
6,ARCELORMIT.,"27,9500",28.42,27.595,"-1,64",2021-11-06 02:22:05.163988
7,B.SANTANDER,"3,2840",3.319,3.215,"1,44",2021-11-06 02:22:05.166989
8,BA.SABADELL,"0,6734",0.68,0.6658,"0,57",2021-11-06 02:22:05.169934
9,BANKINTER,"4,9670",5.004,4.876,"1,82",2021-11-06 02:22:05.172828
10,BBVA,"6,0260",6.107,5.997,"-0,23",2021-11-06 02:22:05.175719
11,CAIXABANK,"2,5060",2.527,2.46,"1,58",2021-11-06 02:22:05.178635
12,CELLNEX,"52,7200",53.64,52.72,"-1,13",2021-11-06 02:22:05.181672
13,CIE AUTOMOT.,"24,6200",24.62,24.2,"0,90",2021-11-06 02:22:05.184607
14,ENAGAS,"20,0900",20.18,19.9,"0,85",2021-11-06 02:22:05.187492
15,ENDESA,"20,0000",20.2,19.885,"1,19",2021-11-06 02:22:05.190381
16,FERROVIAL,"27,4000",27.59,26.89,"1,33",2021-11-06 02:22:05.193284
17,FLUIDRA,"33,1000",33.55,32.9,"-0,60",2021-11-06 02:22:05.196190
18,GRIFOLS CL.A,"18,5000",18.85,18.16,"-1,86",2021-11-06 02:22:05.199088
19,IAG,"2,0950",2.1,1.903,"6,13",2021-11-06 02:22:05.202000
20,IBERDROLA,"10,2750",10.33,10.165,"0,69",2021-11-06 02:22:05.204903
21,INDITEX,"32,2700",32.34,31.76,"0,25",2021-11-06 02:22:05.207801
22,INDRA A,"10,7800",10.9,10.64,"0,84",2021-11-06 02:22:05.210699
23,INM.COLONIAL,"8,6750",8.7,8.345,"2,18",2021-11-06 02:22:05.213504
24,MAPFRE,"1,9430",1.9525,1.895,"1,52",2021-11-06 02:22:05.216226
25,MELIA HOTELS,"6,9060",6.91,6.25,"8,18",2021-11-06 02:22:05.218932
26,MERLIN,"9,8100",9.81,9.442,"3,57",2021-11-06 02:22:05.221652
27,NATURGY,"23,3800",23.56,23.19,"0,09",2021-11-06 02:22:05.224362
28,PHARMA MAR,"60,7000",62.74,60.5,"-1,36",2021-11-06 02:22:05.227064
29,R.E.C.,"18,1750",18.265,18.1,"-0,30",2021-11-06 02:22:05.229763
30,REPSOL,"10,8120",10.878,10.584,"0,86",2021-11-06 02:22:05.232456
31,SIEMENS GAME,"18,7850",19.395,18.34,"-3,07",2021-11-06 02:22:05.235082
32,SOLARIA,"15,6900",16.175,15.67,"-2,09",2021-11-06 02:22:05.237704
33,TELEFONICA,"3,7660",3.803,3.648,"2,78",2021-11-06 02:22:05.240308
34,VISCOFAN,"59,6000",59.95,59.15,"-0,17",2021-11-06 02:22:05.242942
