,Nombre,Ult,Max,Min,Dif,Fecha
0,ACCIONA,"157,0000",160.0,155.5,"-1,32",2021-11-06 03:00:13.690300
1,ACERINOX,"11,2200",11.48,11.215,"-1,41",2021-11-06 03:00:13.693948
2,ACS,"23,3100",23.35,22.15,"4,72",2021-11-06 03:00:13.696964
3,AENA,"151,2500",151.25,145.2,"3,60",2021-11-06 03:00:13.699925
4,ALMIRALL,"12,3900",12.92,12.37,"-2,21",2021-11-06 03:00:13.702908
5,AMADEUS,"61,9400",62.38,57.26,"4,70",2021-11-06 03:00:13.705876
6,ARCELORMIT.,"27,9500",28.42,27.595,"-1,64",2021-11-06 03:00:13.708842
7,B.SANTANDER,"3,2840",3.319,3.215,"1,44",2021-11-06 03:00:13.711695
8,BA.SABADELL,"0,6734",0.68,0.6658,"0,57",2021-11-06 03:00:13.714572
9,BANKINTER,"4,9670",5.004,4.876,"1,82",2021-11-06 03:00:13.717459
10,BBVA,"6,0260",6.107,5.997,"-0,23",2021-11-06 03:00:13.720326
11,CAIXABANK,"2,5060",2.527,2.46,"1,58",2021-11-06 03:00:13.723242
12,CELLNEX,"52,7200",53.64,52.72,"-1,13",2021-11-06 03:00:13.726129
13,CIE AUTOMOT.,"24,6200",24.62,24.2,"0,90",2021-11-06 03:00:13.728995
14,ENAGAS,"20,0900",20.18,19.9,"0,85",2021-11-06 03:00:13.731840
15,ENDESA,"20,0000",20.2,19.885,"1,19",2021-11-06 03:00:13.734709
16,FERROVIAL,"27,4000",27.59,26.89,"1,33",2021-11-06 03:00:13.737571
17,FLUIDRA,"33,1000",33.55,32.9,"-0,60",2021-11-06 03:00:13.740426
18,GRIFOLS CL.A,"18,5000",18.85,18.16,"-1,86",2021-11-06 03:00:13.743254
19,IAG,"2,0950",2.1,1.903,"6,13",2021-11-06 03:00:13.746012
20,IBERDROLA,"10,2750",10.33,10.165,"0,69",2021-11-06 03:00:13.748783
21,INDITEX,"32,2700",32.34,31.76,"0,25",2021-11-06 03:00:13.751546
22,INDRA A,"10,7800",10.9,10.64,"0,84",2021-11-06 03:00:13.754311
23,INM.COLONIAL,"8,6750",8.7,8.345,"2,18",2021-11-06 03:00:13.757078
24,MAPFRE,"1,9430",1.9525,1.895,"1,52",2021-11-06 03:00:13.759836
25,MELIA HOTELS,"6,9060",6.91,6.25,"8,18",2021-11-06 03:00:13.762607
26,MERLIN,"9,8100",9.81,9.442,"3,57",2021-11-06 03:00:13.765373
27,NATURGY,"23,3800",23.56,23.19,"0,09",2021-11-06 03:00:13.768153
28,PHARMA MAR,"60,7000",62.74,60.5,"-1,36",2021-11-06 03:00:13.770909
29,R.E.C.,"18,1750",18.265,18.1,"-0,30",2021-11-06 03:00:13.773641
30,REPSOL,"10,8120",10.878,10.584,"0,86",2021-11-06 03:00:13.776297
31,SIEMENS GAME,"18,7850",19.395,18.34,"-3,07",2021-11-06 03:00:13.778956
32,SOLARIA,"15,6900",16.175,15.67,"-2,09",2021-11-06 03:00:13.781629
33,TELEFONICA,"3,7660",3.803,3.648,"2,78",2021-11-06 03:00:13.784291
34,VISCOFAN,"59,6000",59.95,59.15,"-0,17",2021-11-06 03:00:13.786949
