,Nombre,Ult,Dif,Fecha
0,ACCIONA,"157,8000","1,15",2021-10-21 17:00:49.300855
1,ACERINOX,"11,4900","-2,25",2021-10-21 17:00:49.301855
2,ACS,"23,0500","0,22",2021-10-21 17:00:49.303855
3,AENA,"141,0000","-2,08",2021-10-21 17:00:49.304856
4,ALMIRALL,"12,7500","0,39",2021-10-21 17:00:49.305856
5,AMADEUS,"56,3800","-0,28",2021-10-21 17:00:49.306856
6,ARCELORMIT.,"26,9700","-3,92",2021-10-21 17:00:49.307856
7,B.SANTANDER,"3,3135","-1,38",2021-10-21 17:00:49.308857
8,BA.SABADELL,"0,6464","-3,44",2021-10-21 17:00:49.309857
9,BANKINTER,"4,7850","-5,51",2021-10-21 17:00:49.311857
10,BBVA,"5,6610","-2,90",2021-10-21 17:00:49.312857
11,CAIXABANK,"2,5500","-2,86",2021-10-21 17:00:49.313858
12,CELLNEX,"54,8000","1,41",2021-10-21 17:00:49.314858
13,CIE AUTOMOT.,"23,9600","4,72",2021-10-21 17:00:49.315858
14,ENAGAS,"19,3050","-1,03",2021-10-21 17:00:49.316858
15,ENDESA,"19,0750","0,18",2021-10-21 17:00:49.317859
16,FERROVIAL,"26,8200","-0,07",2021-10-21 17:00:49.318859
17,FLUIDRA,"36,5000","2,24",2021-10-21 17:00:49.319859
18,GRIFOLS CL.A,"20,3900","1,85",2021-10-21 17:00:49.321860
19,IAG,"1,9040","1,82",2021-10-21 17:00:49.322860
20,IBERDROLA,"9,7520","-0,83",2021-10-21 17:00:49.323860
21,INDITEX,"31,3000","-0,57",2021-10-21 17:00:49.324860
22,INDRA A,"9,4850","-0,05",2021-10-21 17:00:49.325860
23,INM.COLONIAL,"8,3300","0,12",2021-10-21 17:00:49.326860
24,MAPFRE,"1,7845","-1,46",2021-10-21 17:00:49.327861
25,MELIA HOTELS,"6,3800","0,41",2021-10-21 17:00:49.328862
26,MERLIN,"9,3520","0,49",2021-10-21 17:00:49.330862
27,NATURGY,"22,2800","-0,40",2021-10-21 17:00:49.331862
28,PHARMA MAR,"71,7400","0,67",2021-10-21 17:00:49.332862
29,R.E.C.,"17,6050","-0,96",2021-10-21 17:00:49.333862
30,REPSOL,"11,4520","-2,04",2021-10-21 17:00:49.334862
31,SIEMENS GAME,"22,0800","1,61",2021-10-21 17:00:49.335862
32,SOLARIA,"16,7100","1,00",2021-10-21 17:00:49.336863
33,TELEFONICA,"3,7905","-1,20",2021-10-21 17:00:49.337863
34,VISCOFAN,"56,4000","1,17",2021-10-21 17:00:49.338863
